sex,init_bmi,chng_bmi,age,n_microbiol,pancreatic_enzyme_suppl,lag_fev,lag_bmi,pred,lower,upper,ageg,vary,weight_cat
F,14.2,10.100000000000001,10,14.521808818119705,TRUE,70,24.3,17.656969494249488,15.951494216832668,19.362444771666308,Child,Change in BMI,Underweight
F,14.2,10.200000000000001,10,14.521808818119705,TRUE,70,24.4,17.70878703004123,15.968414418202512,19.449159641879945,Child,Change in BMI,Underweight
F,14.2,10.3,10,14.521808818119705,TRUE,70,24.5,17.758676824238453,15.98305305213482,19.534300596342085,Child,Change in BMI,Underweight
F,14.2,10.4,10,14.521808818119705,TRUE,70,24.6,17.806656725850807,15.995441495494275,19.617871956207342,Child,Change in BMI,Underweight
F,14.2,10.5,10,14.521808818119705,TRUE,70,24.7,17.85274449502387,16.00561061229346,19.69987837775428,Child,Change in BMI,Underweight
F,14.2,10.600000000000001,10,14.521808818119705,TRUE,70,24.8,17.896957803039154,16.01359076059044,19.78032484548787,Child,Change in BMI,Underweight
F,14.2,10.700000000000001,10,14.521808818119705,TRUE,70,24.9,17.939314232314103,16.01941179978166,19.859216664846546,Child,Change in BMI,Underweight
F,14.2,10.8,10,14.521808818119705,TRUE,70,25,17.979831276402116,16.023103098138208,19.936559454666025,Child,Change in BMI,Underweight
F,14.2,10.9,10,14.521808818119705,TRUE,70,25.1,18.018526339992512,16.024693540459843,20.01235913952518,Child,Change in BMI,Underweight
F,14.2,11,10,14.521808818119705,TRUE,70,25.2,18.05541673891055,16.024211535743966,20.086621942077137,Child,Change in BMI,Underweight
F,14.2,11.100000000000001,10,14.521808818119705,TRUE,70,25.3,18.090519700117415,16.02168502478601,20.15935437544882,Child,Change in BMI,Underweight
F,14.2,11.200000000000001,10,14.521808818119705,TRUE,70,25.4,18.12385236171026,16.017141487644608,20.23056323577591,Child,Change in BMI,Underweight
F,14.2,11.3,10,14.521808818119705,TRUE,70,25.5,18.15543177292213,16.010607950918615,20.30025559492565,Child,Change in BMI,Underweight
F,14.2,11.4,10,14.521808818119705,TRUE,70,25.6,18.185274894122053,16.002110994795657,20.368438793448448,Child,Change in BMI,Underweight
F,14.2,11.5,10,14.521808818119705,TRUE,70,25.7,18.213398596814947,15.99167675984118,20.435120433788715,Child,Change in BMI,Underweight
F,14.2,11.600000000000001,10,14.521808818119705,TRUE,70,25.8,18.239819663641704,15.979330953506157,20.50030837377725,Child,Change in BMI,Underweight
F,14.2,11.700000000000001,10,14.521808818119705,TRUE,70,25.9,18.26455478837913,15.965098856338042,20.564010720420217,Child,Change in BMI,Underweight
F,14.2,11.8,10,14.521808818119705,TRUE,70,26,18.287620575939968,15.949005327885805,20.62623582399413,Child,Change in BMI,Underweight
F,14.2,11.9,10,14.521808818119705,TRUE,70,26.1,18.309033542372923,15.931074812294494,20.686992272451352,Child,Change in BMI,Underweight
F,14.2,12,10,14.521808818119705,TRUE,70,26.2,18.328810114862595,15.911331343588618,20.746288886136572,Child,Change in BMI,Underweight
F,14.2,12.100000000000001,10,14.521808818119705,TRUE,70,26.3,18.346966631729565,15.889798550647217,20.804134712811912,Child,Change in BMI,Underweight
F,14.2,12.200000000000001,10,14.521808818119705,TRUE,70,26.4,18.363519342430294,15.866499661875453,20.860539022985137,Child,Change in BMI,Underweight
F,14.2,12.3,10,14.521808818119705,TRUE,70,26.5,18.37848440755724,15.841457509580275,20.91551130553421,Child,Change in BMI,Underweight
F,14.2,12.4,10,14.521808818119705,TRUE,70,26.6,18.391877898838754,15.814694534058582,20.969061263618926,Child,Change in BMI,Underweight
F,14.2,12.5,10,14.521808818119705,TRUE,70,26.7,18.403715799139164,15.786232787408307,21.021198810870022,Child,Change in BMI,Underweight
F,14.2,12.600000000000001,10,14.521808818119705,TRUE,70,26.8,18.414014002458668,15.75609393707292,21.071934067844413,Child,Change in BMI,Underweight
F,14.2,12.700000000000001,10,14.521808818119705,TRUE,70,26.9,18.422788313933484,15.72429926913151,21.12127735873546,Child,Change in BMI,Underweight
F,14.2,12.8,10,14.521808818119705,TRUE,70,27,18.43005444983569,15.690869691345885,21.169239208325497,Child,Change in BMI,Underweight
F,14.2,12.9,10,14.521808818119705,TRUE,70,27.1,18.435828037573355,15.655825735977666,21.21583033916904,Child,Change in BMI,Underweight
F,14.2,13,10,14.521808818119705,TRUE,70,27.2,18.440124615690447,15.619187562387438,21.261061668993456,Child,Change in BMI,Underweight
F,14.2,13.100000000000001,10,14.521808818119705,TRUE,70,27.3,18.442959633866895,15.580974959428781,21.30494430830501,Child,Change in BMI,Underweight
F,14.2,13.200000000000001,10,14.521808818119705,TRUE,70,27.4,18.444348452918568,15.541207347649612,21.347489558187526,Child,Change in BMI,Underweight
